date,name,author,description,image
"August 28, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"August 28, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"August 28, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"August 28, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"August 28, 2022",ALL YOUR PERFECTS,Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg
"August 28, 2022",THE 6:20 MAN,David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg
"August 28, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"August 28, 2022",EVERY SUMMER AFTER,Carley Fortune,The love story of Percy and Sam is told over the course of six summers and one weekend.,https://storage.googleapis.com/du-prd/books/images/9780593438534.jpg
"August 28, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"August 28, 2022",HEAT 2,Michael Mann and Meg Gardiner,New adversaries confront returning characters in situations set before and after the events of the film “Heat.”,https://storage.googleapis.com/du-prd/books/images/9780062653314.jpg
"August 28, 2022",THE SILENT PATIENT,Alex Michaelides,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg
"August 28, 2022",MAYBE SOMEDAY,Colleen Hoover,"Sydney, a college student, is fascinated by her mysterious next-door neighbor, Ridge.",https://storage.googleapis.com/du-prd/books/images/9781476753171.jpg
"August 28, 2022",THE FAMILY REMAINS,Lisa Jewell,"Mysteries involving a decades-old cold case, a murder in France and a woman’s return to London are connected.",https://storage.googleapis.com/du-prd/books/images/9781982178895.jpg
"August 21, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"August 21, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"August 21, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"August 21, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"August 21, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"August 21, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"August 21, 2022",RECKONING,Catherine Coulter,The 26th book in the F.B.I. thriller series. Savich and Sherlock are enlisted to protect women with traumatic pasts.,https://storage.googleapis.com/du-prd/books/images/9780063004139.jpg
